"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1 year"	"1"	"2019"	"2019"	53	3829599	1.4
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1 year"	"1"	"2020"	"2020"	54	3773884	1.4
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1 year"	"1"	"2021"	"2021"	70	3702936	1.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"1 year"	"1"	"2022 "	"2022"	113	3588817	3.1
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2 years"	"2"	"2018"	"2018"	24	3991437	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2 years"	"2"	"2019"	"2019"	39	3922044	1.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2 years"	"2"	"2020"	"2020"	19	3853025	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2 years"	"2"	"2021"	"2021"	42	3767428	1.1
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"2 years"	"2"	"2022 "	"2022"	50	3693362	1.4
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"3 years"	"3"	"2018"	"2018"	21	4036562	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"3 years"	"3"	"2019"	"2019"	32	3998665	0.8
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"3 years"	"3"	"2020"	"2020"	14	3921526	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"3 years"	"3"	"2021"	"2021"	33	3856743	0.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"3 years"	"3"	"2022 "	"2022"	41	3742836	1.1
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"4 years"	"4"	"2018"	"2018"	15	4021168	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"4 years"	"4"	"2019"	"2019"	14	4043323	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"4 years"	"4"	"2020"	"2020"	13	4017847	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"4 years"	"4"	"2021"	"2021"	23	3935738	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"4 years"	"4"	"2022 "	"2022"	34	3830225	0.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"5 years"	"5"	"2020"	"2020"	15	4054336	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"5 years"	"5"	"2021"	"2021"	19	4040153	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"5 years"	"5"	"2022 "	"2022"	25	3907298	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"6 years"	"6"	"2019"	"2019"	16	4017227	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"6 years"	"6"	"2020"	"2020"	11	4040169	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"6 years"	"6"	"2021"	"2021"	21	4076629	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"6 years"	"6"	"2022 "	"2022"	31	4008898	0.8
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"7 years"	"7"	"2020"	"2020"	12	4029753	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"7 years"	"7"	"2021"	"2021"	21	4064596	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"7 years"	"7"	"2022 "	"2022"	18	4043729	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"8 years"	"8"	"2020"	"2020"	12	4034785	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"8 years"	"8"	"2021"	"2021"	18	4051555	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"8 years"	"8"	"2022 "	"2022"	15	4031341	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"9 years"	"9"	"2019"	"2019"	12	4061874	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"9 years"	"9"	"2021"	"2021"	27	4058615	0.7
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"9 years"	"9"	"2022 "	"2022"	30	4017929	0.7
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"10 years"	"10"	"2019"	"2019"	12	4060940	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"10 years"	"10"	"2021"	"2021"	27	4103489	0.7
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"10 years"	"10"	"2022 "	"2022"	26	4024547	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"11 years"	"11"	"2021"	"2021"	15	4189406	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"11 years"	"11"	"2022 "	"2022"	19	4068564	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"12 years"	"12"	"2020"	"2020"	11	4200977	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"12 years"	"12"	"2021"	"2021"	23	4279315	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"12 years"	"12"	"2022 "	"2022"	22	4152811	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"13 years"	"13"	"2020"	"2020"	19	4219921	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"13 years"	"13"	"2021"	"2021"	28	4442581	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"13 years"	"13"	"2022 "	"2022"	25	4240884	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"14 years"	"14"	"2020"	"2020"	15	4186358	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"14 years"	"14"	"2021"	"2021"	32	4432993	0.7
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"14 years"	"14"	"2022 "	"2022"	14	4403033	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"15 years"	"15"	"2018"	"2018"	10	4141218	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"15 years"	"15"	"2020"	"2020"	20	4175920	0.5
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"15 years"	"15"	"2021"	"2021"	52	4355926	1.2
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"15 years"	"15"	"2022 "	"2022"	25	4396566	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"16 years"	"16"	"2018"	"2018"	11	4130744	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"16 years"	"16"	"2020"	"2020"	14	4187874	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"16 years"	"16"	"2021"	"2021"	61	4310462	1.4
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"16 years"	"16"	"2022 "	"2022"	26	4325808	0.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"17 years"	"17"	"2020"	"2020"	19	4164893	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"17 years"	"17"	"2021"	"2021"	72	4333375	1.7
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"17 years"	"17"	"2022 "	"2022"	51	4291066	1.2
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"18 years"	"18"	"2018"	"2018"	15	4319722	Unreliable
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"18 years"	"18"	"2020"	"2020"	43	4159857	1.0
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"18 years"	"18"	"2021"	"2021"	91	4292780	2.1
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"18 years"	"18"	"2022 "	"2022"	40	4326642	0.9
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"19 years"	"19"	"2020"	"2020"	61	4272385	1.4
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"19 years"	"19"	"2021"	"2021"	110	4272123	2.6
	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	"19 years"	"19"	"2022 "	"2022"	50	4295710	1.2
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1 year"	"1"	"2018"	"2018"	58	3912900	1.5
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1 year"	"1"	"2019"	"2019"	70	3829599	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1 year"	"1"	"2020"	"2020"	60	3773884	1.6
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1 year"	"1"	"2021"	"2021"	57	3702936	1.5
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"1 year"	"1"	"2022 "	"2022"	63	3588817	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2 years"	"2"	"2018"	"2018"	81	3991437	2.0
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2 years"	"2"	"2019"	"2019"	66	3922044	1.7
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2 years"	"2"	"2020"	"2020"	75	3853025	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2 years"	"2"	"2021"	"2021"	79	3767428	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"2 years"	"2"	"2022 "	"2022"	57	3693362	1.5
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"3 years"	"3"	"2018"	"2018"	92	4036562	2.3
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"3 years"	"3"	"2019"	"2019"	68	3998665	1.7
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"3 years"	"3"	"2020"	"2020"	82	3921526	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"3 years"	"3"	"2021"	"2021"	73	3856743	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"3 years"	"3"	"2022 "	"2022"	82	3742836	2.2
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"4 years"	"4"	"2018"	"2018"	95	4021168	2.4
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"4 years"	"4"	"2019"	"2019"	81	4043323	2.0
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"4 years"	"4"	"2020"	"2020"	90	4017847	2.2
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"4 years"	"4"	"2021"	"2021"	73	3935738	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"4 years"	"4"	"2022 "	"2022"	64	3830225	1.7
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"5 years"	"5"	"2018"	"2018"	71	4010118	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"5 years"	"5"	"2019"	"2019"	89	4028281	2.2
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"5 years"	"5"	"2020"	"2020"	88	4054336	2.2
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"5 years"	"5"	"2021"	"2021"	72	4040153	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"5 years"	"5"	"2022 "	"2022"	90	3907298	2.3
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"6 years"	"6"	"2018"	"2018"	78	4015259	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"6 years"	"6"	"2019"	"2019"	74	4017227	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"6 years"	"6"	"2020"	"2020"	76	4040169	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"6 years"	"6"	"2021"	"2021"	73	4076629	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"6 years"	"6"	"2022 "	"2022"	84	4008898	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"7 years"	"7"	"2018"	"2018"	87	4059363	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"7 years"	"7"	"2019"	"2019"	76	4022319	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"7 years"	"7"	"2020"	"2020"	84	4029753	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"7 years"	"7"	"2021"	"2021"	75	4064596	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"7 years"	"7"	"2022 "	"2022"	75	4043729	1.9
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"8 years"	"8"	"2018"	"2018"	72	4055624	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"8 years"	"8"	"2019"	"2019"	75	4066194	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"8 years"	"8"	"2020"	"2020"	74	4034785	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"8 years"	"8"	"2021"	"2021"	64	4051555	1.6
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"8 years"	"8"	"2022 "	"2022"	71	4031341	1.8
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"9 years"	"9"	"2018"	"2018"	85	4055278	2.1
	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"9 years"	"9"	"2019"	"2019"	57	4061874	1.4
